,Item Number,Monetary,Frequency,Recent_Date
665,905635,2835.54,24,2014-08-29
666,559,7840.0,99,2017-11-13
667,27369,275612.16,1056,2020-09-30
668,903191,562.32,4,2014-04-10
669,905060,608.82,5,2016-12-28
670,987876,407.82,6,2015-10-12
671,51714,17193.75,137,2018-07-16
672,900480,1088.64,14,2017-12-13
673,901765,145.86,1,2012-04-27
674,901169,855.42,9,2018-02-09
675,83363,379113.94,9255,2020-09-30
676,11586,2374567.02,24603,2020-09-30
677,62420,378546.72,6263,2020-09-30
678,57129,641049.19,12273,2020-09-30
679,25601,242964.54,9956,2020-09-30
680,40363,158522.01,3097,2020-09-30
681,42777,270613.14,2581,2020-09-30
682,30057,196851.75,4695,2020-09-30
683,30528,800527.54,10571,2020-09-30
684,33567,30566.22,384,2016-04-27
685,12467,390248.63,6262,2020-09-30
686,33945,40972.06,587,2015-03-31
687,33537,7382.04,191,2015-06-10
688,43343,102295.94,1042,2018-07-31
689,36317,6656.3,29,2015-08-31
690,57012,755.82,12,2014-04-28
691,903751,1396.32,12,2013-10-24
692,903772,774.54,1,2013-11-21
693,900624,494.58,8,2017-11-30
694,966293,11967.12,25,2014-01-09
695,35759,2612.2,38,2020-05-27
696,900237,588.54,11,2017-12-13
697,900633,1360.26,5,2012-11-15
698,901603,110.4,1,2012-04-27
699,946192,450.18,3,2015-04-13
700,34036,1229814.04,9987,2020-09-30
701,34959,197957.24,2148,2020-07-07
702,25874,2619.36,118,2013-02-05
703,902219,8035.2,32,2020-02-24
704,906061,3673.08,21,2014-06-25
705,4020,145473.93,122,2014-11-22
706,903533,4337.52,35,2020-06-15
707,906266,5897.64,18,2020-03-05
708,942242,8478.0,34,2013-10-08
709,12409,55057.92,923,2020-07-23
710,68811,1078.92,23,2018-02-15
711,52808,1410.17,23,2012-01-16
712,901206,415.17,4,2017-02-10
713,904514,6900.0,48,2020-09-28
714,904010,402.0,1,2013-10-10
715,72915,39558.48,968,2019-06-25
716,901154,50.32,1,2012-04-27
717,35460,257.16,5,2012-12-03
718,901032,1543.14,10,2017-11-30
719,5346,2588788.68,24087,2020-09-30
720,5326,2149108.39,16054,2020-09-30
721,30236,350991.64,7862,2020-09-30
